Hugo_Symbol	Frame_Shift_Del	Frame_Shift_Ins	In_Frame_Del	In_Frame_Ins	Nonsense_Mutation	Nonstop_Mutation	Splice_Site	Translation_Start_Site	total	MutatedSamples	AlteredSamples
BAZ2B	0	0	1	0	0	0	0	0	1	1	1
BBS12	0	0	0	0	1	0	0	0	1	1	1
BBS2	1	0	0	0	0	0	0	0	1	1	1
BCAN	0	0	0	0	1	0	0	0	1	1	1
BCAP29	1	0	0	0	0	0	0	0	1	1	1
BCAS2	0	0	0	0	1	0	0	0	1	1	1
BCAT2	0	0	0	0	0	0	1	0	1	1	1
BCDIN3D	0	0	0	0	0	0	0	1	1	1	1
BCL2L13	1	0	0	0	0	0	0	0	1	1	1
BCL9	0	0	0	0	1	0	0	0	1	1	1
BCL9L	0	0	0	0	0	0	1	0	1	1	1
BCLAF1	0	0	0	0	1	0	0	0	1	1	1
BCOR	1	0	0	0	0	0	0	0	1	1	1
BEST4	0	0	0	0	1	0	0	0	1	1	1
BET1	0	0	0	0	0	0	0	1	1	1	1
BIRC6	0	0	0	0	0	0	1	0	1	1	1
BMI1	0	0	0	0	1	0	0	0	1	1	1
BMP2	0	0	0	0	1	0	0	0	1	1	1
BMP2K	0	0	0	0	1	0	0	0	1	1	1
BMP5	0	0	0	0	1	0	0	0	1	1	1
BMPR2	0	0	0	0	1	0	0	0	1	1	1
BMS1	0	0	0	0	1	0	0	0	1	1	1
BPI	0	0	0	0	1	0	0	0	1	1	1
BPIFB4	0	0	0	0	1	0	0	0	1	1	1
BPTF	0	0	0	0	1	0	0	0	1	1	1
BRAF	0	0	1	0	0	0	0	0	1	1	1
BRCC3	1	0	0	0	0	0	0	0	1	1	1
BRE	0	0	0	0	1	0	0	0	1	1	1
BRICD5	0	0	0	0	1	0	0	0	1	1	1
BRINP1	1	0	0	0	0	0	0	0	1	1	1
BRIP1	0	0	0	0	1	0	0	0	1	1	1
BTAF1	0	0	0	0	1	0	0	0	1	1	1
BTG1	1	0	0	0	0	0	0	0	1	1	1
BTRC	0	0	0	0	1	0	0	0	1	1	1
BUB1B	0	0	0	0	1	0	0	0	1	1	1
BZRAP1	1	0	0	0	0	0	0	0	1	1	1
BZW1	0	1	0	0	0	0	0	0	1	1	1
C10orf90	0	0	0	0	1	0	0	0	1	1	1
C11orf70	0	0	0	0	1	0	0	0	1	1	1
C11orf73	0	0	0	0	1	0	0	0	1	1	1
C11orf88	0	0	0	0	1	0	0	0	1	1	1
C12orf10	0	0	0	0	0	0	1	0	1	1	1
C12orf40	0	0	0	0	1	0	0	0	1	1	1
C14orf79	1	0	0	0	0	0	0	0	1	1	1
C15orf26	0	0	0	0	1	0	0	0	1	1	1
C17orf66	0	0	0	0	1	0	0	0	1	1	1
C19orf53	1	0	0	0	0	0	0	0	1	1	1
C1orf127	1	0	0	0	0	0	0	0	1	1	1
C1orf177	0	0	0	0	1	0	0	0	1	1	1
C1orf216	0	0	0	0	1	0	0	0	1	1	1
C1orf94	0	0	1	0	0	0	0	0	1	1	1
C20orf85	1	0	0	0	0	0	0	0	1	1	1
C20orf96	1	0	0	0	0	0	0	0	1	1	1
C2ORF15	0	1	0	0	0	0	0	0	1	1	1
C3AR1	1	0	0	0	0	0	0	0	1	1	1
C3orf62	0	0	0	0	0	0	1	0	1	1	1
C3orf72	0	0	1	0	0	0	0	0	1	1	1
C5orf42	0	0	0	0	1	0	0	0	1	1	1
C6	0	0	0	0	1	0	0	0	1	1	1
C6orf10	0	0	1	0	0	0	0	0	1	1	1
C6orf15	1	0	0	0	0	0	0	0	1	1	1
C8B	1	0	0	0	0	0	0	0	1	1	1
C9orf78	0	0	0	0	0	0	0	1	1	1	1
C9orf84	0	1	0	0	0	0	0	0	1	1	1
CABP5	0	0	0	0	0	0	1	0	1	1	1
CACNA1C	0	0	0	0	0	0	1	0	1	1	1
CACNA1D	0	0	1	0	0	0	0	0	1	1	1
CACNB4	0	0	0	0	1	0	0	0	1	1	1
CADM1	0	0	0	0	0	1	0	0	1	1	1
CADPS2	1	0	0	0	0	0	0	0	1	1	1
CALCR	0	0	0	0	1	0	0	0	1	1	1
CAMK2D	0	0	0	0	1	0	0	0	1	1	1
CAMK4	0	1	0	0	0	0	0	0	1	1	1
CAMKMT	1	0	0	0	0	0	0	0	1	1	1
CAMSAP1	0	0	0	0	1	0	0	0	1	1	1
CAMTA1	0	0	0	0	0	0	1	0	1	1	1
CAP1	1	0	0	0	0	0	0	0	1	1	1
CAPN11	1	0	0	0	0	0	0	0	1	1	1
CAPN13	0	0	0	0	0	0	1	0	1	1	1
CAPSL	1	0	0	0	0	0	0	0	1	1	1
CAPZA3	0	0	0	0	1	0	0	0	1	1	1
CARD11	0	0	0	0	1	0	0	0	1	1	1
CARD14	0	0	0	0	1	0	0	0	1	1	1
CARF	1	0	0	0	0	0	0	0	1	1	1
CARHSP1	1	0	0	0	0	0	0	0	1	1	1
CARS2	0	0	0	0	0	1	0	0	1	1	1
CASR	0	0	1	0	0	0	0	0	1	1	1
CAT	1	0	0	0	0	0	0	0	1	1	1
CAV1	0	0	0	0	0	0	1	0	1	1	1
CBFA2T3	0	0	0	0	0	0	1	0	1	1	1
CBLN1	1	0	0	0	0	0	0	0	1	1	1
CBWD6	1	0	0	0	0	0	0	0	1	1	1
CC2D1A	0	1	0	0	0	0	0	0	1	1	1
CCAR1	0	0	0	0	1	0	0	0	1	1	1
CCBL1	0	0	0	0	1	0	0	0	1	1	1
CCDC101	1	0	0	0	0	0	0	0	1	1	1
CCDC113	0	0	1	0	0	0	0	0	1	1	1
CCDC144A	1	0	0	0	0	0	0	0	1	1	1
CCDC146	0	0	0	0	1	0	0	0	1	1	1
CCDC148	0	1	0	0	0	0	0	0	1	1	1
CCDC15	0	0	0	0	1	0	0	0	1	1	1
CCDC172	0	1	0	0	0	0	0	0	1	1	1
CCDC39	1	0	0	0	0	0	0	0	1	1	1
CCDC57	0	0	0	0	1	0	0	0	1	1	1
CCDC60	0	0	0	0	1	0	0	0	1	1	1
CCDC73	1	0	0	0	0	0	0	0	1	1	1
CCDC80	0	0	0	0	1	0	0	0	1	1	1
CCDC86	0	0	0	0	1	0	0	0	1	1	1
CCDC9	0	0	0	0	0	0	1	0	1	1	1
CCDC92	0	0	1	0	0	0	0	0	1	1	1
CCL17	0	0	0	0	0	0	0	1	1	1	1
CCNG1	0	0	0	0	1	0	0	0	1	1	1
CCNI	1	0	0	0	0	0	0	0	1	1	1
CCNYL1	0	0	1	0	0	0	0	0	1	1	1
CCT4	0	0	1	0	0	0	0	0	1	1	1
CD109	0	0	0	0	0	0	1	0	1	1	1
CD163L1	0	0	0	0	1	0	0	0	1	1	1
CD1B	0	0	0	0	1	0	0	0	1	1	1
CD200R1L	0	0	0	0	0	0	1	0	1	1	1
CD207	0	0	0	0	1	0	0	0	1	1	1
CD28	0	0	0	0	1	0	0	0	1	1	1
CD300LB	1	0	0	0	0	0	0	0	1	1	1
CD37	0	0	1	0	0	0	0	0	1	1	1
CD38	0	0	0	0	1	0	0	0	1	1	1
CD63	1	0	0	0	0	0	0	0	1	1	1
CD68	1	0	0	0	0	0	0	0	1	1	1
CDC20	1	0	0	0	0	0	0	0	1	1	1
CDC25B	0	0	1	0	0	0	0	0	1	1	1
CDH10	0	1	0	0	0	0	0	0	1	1	1
CDH20	0	0	0	0	1	0	0	0	1	1	1
CDH23	0	0	0	0	1	0	0	0	1	1	1
CDH8	0	1	0	0	0	0	0	0	1	1	1
CDH9	1	0	0	0	0	0	0	0	1	1	1
CDK1	0	0	0	0	0	0	1	0	1	1	1
CDK13	0	0	0	0	0	0	1	0	1	1	1
CDK20	0	0	0	0	0	0	1	0	1	1	1
CDK5RAP2	0	0	0	0	1	0	0	0	1	1	1
CDK5RAP3	0	0	0	0	0	0	1	0	1	1	1
CDKL4	1	0	0	0	0	0	0	0	1	1	1
CDKN2A	0	0	0	0	1	0	0	0	1	1	1
CEBPG	0	0	0	0	1	0	0	0	1	1	1
CELSR3	1	0	0	0	0	0	0	0	1	1	1
CENPC	0	0	0	0	0	0	1	0	1	1	1
CENPE	0	0	0	0	0	0	1	0	1	1	1
CENPF	0	0	0	0	1	0	0	0	1	1	1
CEP112	1	0	0	0	0	0	0	0	1	1	1
CEP128	0	0	0	0	1	0	0	0	1	1	1
CEP192	0	0	0	0	1	0	0	0	1	1	1
CEP250	0	0	0	0	1	0	0	0	1	1	1
CEP350	0	0	0	0	1	0	0	0	1	1	1
CEP57	0	0	0	0	1	0	0	0	1	1	1
CEP57L1	1	0	0	0	0	0	0	0	1	1	1
CEP76	0	0	0	0	0	0	1	0	1	1	1
CERKL	1	0	0	0	0	0	0	0	1	1	1
CFH	0	0	1	0	0	0	0	0	1	1	1
CFHR2	0	0	0	0	1	0	0	0	1	1	1
CFHR5	0	0	0	0	1	0	0	0	1	1	1
CFL1	1	0	0	0	0	0	0	0	1	1	1
CGB5	1	0	0	0	0	0	0	0	1	1	1
CHD2	1	0	0	0	0	0	0	0	1	1	1
CHD7	0	0	0	0	1	0	0	0	1	1	1
CHD8	0	0	0	0	1	0	0	0	1	1	1
CHDH	1	0	0	0	0	0	0	0	1	1	1
CHFR	0	0	0	0	0	0	1	0	1	1	1
CHGA	0	0	0	0	1	0	0	0	1	1	1
CHIC2	0	0	0	0	1	0	0	0	1	1	1
CHM	0	0	0	0	1	0	0	0	1	1	1
CHRNB2	1	0	0	0	0	0	0	0	1	1	1
CHST15	1	0	0	0	0	0	0	0	1	1	1
CHSY3	1	0	0	0	0	0	0	0	1	1	1
CIRBP	0	0	0	0	1	0	0	0	1	1	1
CIT	0	0	0	0	0	0	1	0	1	1	1
CLASRP	0	0	1	0	0	0	0	0	1	1	1
CLCN5	0	0	0	0	0	0	1	0	1	1	1
CLDN9	1	0	0	0	0	0	0	0	1	1	1
CLEC12B	0	0	0	0	1	0	0	0	1	1	1
CLEC16A	0	0	1	0	0	0	0	0	1	1	1
CLK3	0	0	0	0	1	0	0	0	1	1	1
CLMN	1	0	0	0	0	0	0	0	1	1	1
CLSTN1	0	0	0	0	0	0	1	0	1	1	1
CLSTN3	0	1	0	0	0	0	0	0	1	1	1
CLTCL1	1	0	0	0	0	0	0	0	1	1	1
CLUH	1	0	0	0	0	0	0	0	1	1	1
CMBL	0	0	0	0	0	0	1	0	1	1	1
CMIP	1	0	0	0	0	0	0	0	1	1	1
CMTM5	1	0	0	0	0	0	0	0	1	1	1
CNBP	0	0	0	0	0	0	1	0	1	1	1
CNGA4	0	0	0	0	1	0	0	0	1	1	1
CNIH2	0	1	0	0	0	0	0	0	1	1	1
CNNM2	0	0	0	0	1	0	0	0	1	1	1
CNNM4	0	0	0	0	1	0	0	0	1	1	1
CNOT1	0	0	0	0	1	0	0	0	1	1	1
CNPPD1	0	0	0	0	1	0	0	0	1	1	1
CNTNAP1	1	0	0	0	0	0	0	0	1	1	1
CNTNAP2	0	0	0	0	0	0	1	0	1	1	1
CNTROB	0	0	0	0	1	0	0	0	1	1	1
COL11A1	0	0	0	0	1	0	0	0	1	1	1
COL19A1	0	0	0	0	1	0	0	0	1	1	1
COL2A1	0	0	0	0	0	0	1	0	1	1	1
COL3A1	0	0	0	0	1	0	0	0	1	1	1
COL4A2	0	0	0	0	1	0	0	0	1	1	1
COL4A3	0	0	0	0	0	0	1	0	1	1	1
COL4A3BP	0	0	0	0	0	0	1	0	1	1	1
COL8A1	1	0	0	0	0	0	0	0	1	1	1
COLGALT2	0	0	0	0	0	0	1	0	1	1	1
COPG2	0	0	0	0	1	0	0	0	1	1	1
COQ5	0	0	0	0	1	0	0	0	1	1	1
CORO7	0	0	0	0	1	0	0	0	1	1	1
CP	0	0	0	0	0	0	1	0	1	1	1
CPEB4	0	1	0	0	0	0	0	0	1	1	1
CPNE3	0	0	0	0	1	0	0	0	1	1	1
CPPED1	0	0	0	0	1	0	0	0	1	1	1
CPSF6	1	0	0	0	0	0	0	0	1	1	1
CR2	1	0	0	0	0	0	0	0	1	1	1
CREB3L4	0	0	1	0	0	0	0	0	1	1	1
CREBBP	1	0	0	0	0	0	0	0	1	1	1
CRIP1	1	0	0	0	0	0	0	0	1	1	1
CRISP2	0	0	0	0	0	0	1	0	1	1	1
CRTAC1	0	0	0	0	1	0	0	0	1	1	1
CRTC1	1	0	0	0	0	0	0	0	1	1	1
CS	0	0	0	0	1	0	0	0	1	1	1
CSF1	0	0	0	0	1	0	0	0	1	1	1
CSMD1	0	0	0	0	1	0	0	0	1	1	1
CSN2	0	0	0	0	1	0	0	0	1	1	1
CSNK1A1L	1	0	0	0	0	0	0	0	1	1	1
CSNK1G1	0	0	0	0	1	0	0	0	1	1	1
CSRNP1	0	0	0	0	0	0	1	0	1	1	1
CSTF2T	0	0	0	0	1	0	0	0	1	1	1
CTAGE1	0	0	0	0	1	0	0	0	1	1	1
CTAGE9	0	0	0	0	1	0	0	0	1	1	1
CTC-429C10.2	0	0	0	0	0	0	1	0	1	1	1
CTDSP1	0	0	1	0	0	0	0	0	1	1	1
CTH	0	1	0	0	0	0	0	0	1	1	1
CTNNA3	0	0	0	0	1	0	0	0	1	1	1
CTNNAL1	0	0	0	0	0	0	1	0	1	1	1
CTPS2	0	0	0	0	1	0	0	0	1	1	1
CTR9	0	0	0	0	0	0	1	0	1	1	1
CTSO	0	0	0	0	1	0	0	0	1	1	1
CUTC	0	0	0	0	1	0	0	0	1	1	1
CWC27	0	1	0	0	0	0	0	0	1	1	1
CWF19L1	0	0	0	0	1	0	0	0	1	1	1
CXorf22	1	0	0	0	0	0	0	0	1	1	1
CYC1	1	0	0	0	0	0	0	0	1	1	1
CYFIP1	0	0	0	0	0	0	1	0	1	1	1
CYFIP2	0	0	0	0	0	0	1	0	1	1	1
CYP11B2	0	0	0	0	0	0	1	0	1	1	1
CYP2A6	1	0	0	0	0	0	0	0	1	1	1
CYP2C8	0	0	0	0	1	0	0	0	1	1	1
CYP2F1	0	0	0	0	1	0	0	0	1	1	1
CYP4A11	0	1	0	0	0	0	0	0	1	1	1
CYP4F22	0	0	0	0	1	0	0	0	1	1	1
CYP4Z1	1	0	0	0	0	0	0	0	1	1	1
CYSLTR1	0	1	0	0	0	0	0	0	1	1	1
DAAM1	0	0	0	0	0	0	1	0	1	1	1
DAPK1	0	0	0	0	1	0	0	0	1	1	1
DAXX	1	0	0	0	0	0	0	0	1	1	1
DBI	0	1	0	0	0	0	0	0	1	1	1
DBNDD1	0	0	0	0	1	0	0	0	1	1	1
DCAF11	0	0	0	0	1	0	0	0	1	1	1
DCDC1	1	0	0	0	0	0	0	0	1	1	1
DCLRE1C	1	0	0	0	0	0	0	0	1	1	1
DCTN4	0	0	0	0	0	0	1	0	1	1	1
DDHD1	0	0	0	0	1	0	0	0	1	1	1
DDR1	0	0	0	0	1	0	0	0	1	1	1
DDR2	0	0	0	0	1	0	0	0	1	1	1
DDX11	0	0	0	0	1	0	0	0	1	1	1
DDX23	1	0	0	0	0	0	0	0	1	1	1
DDX24	1	0	0	0	0	0	0	0	1	1	1
DDX3Y	0	0	0	0	1	0	0	0	1	1	1
DDX42	1	0	0	0	0	0	0	0	1	1	1
DDX47	0	0	1	0	0	0	0	0	1	1	1
DDX5	0	0	0	0	0	0	1	0	1	1	1
DDX58	0	1	0	0	0	0	0	0	1	1	1
DDX59	1	0	0	0	0	0	0	0	1	1	1
DEAF1	0	0	0	0	1	0	0	0	1	1	1
DEF8	0	0	0	0	0	0	1	0	1	1	1
DEFB129	0	0	0	0	1	0	0	0	1	1	1
DENND3	1	0	0	0	0	0	0	0	1	1	1
DENND4C	0	0	0	0	1	0	0	0	1	1	1
DENND5A	1	0	0	0	0	0	0	0	1	1	1
DEPDC1	0	0	0	0	0	0	1	0	1	1	1
DERL2	1	0	0	0	0	0	0	0	1	1	1
DFNB31	0	1	0	0	0	0	0	0	1	1	1
DGKA	0	0	0	0	0	0	1	0	1	1	1
DGKI	0	0	0	0	1	0	0	0	1	1	1
DHFR	1	0	0	0	0	0	0	0	1	1	1
DHX15	1	0	0	0	0	0	0	0	1	1	1
DHX32	0	0	0	0	1	0	0	0	1	1	1
DHX36	0	1	0	0	0	0	0	0	1	1	1
DHX38	1	0	0	0	0	0	0	0	1	1	1
DIP2A	0	0	0	0	1	0	0	0	1	1	1
DIP2B	0	0	0	0	1	0	0	0	1	1	1
DLG2	1	0	0	0	0	0	0	0	1	1	1
DLG4	0	0	0	0	1	0	0	0	1	1	1
DLL1	0	0	0	0	1	0	0	0	1	1	1
DLX6	1	0	0	0	0	0	0	0	1	1	1
DMWD	1	0	0	0	0	0	0	0	1	1	1
DNAH1	0	0	0	0	0	0	1	0	1	1	1
DNAH10	1	0	0	0	0	0	0	0	1	1	1
DNAH17	0	0	0	0	1	0	0	0	1	1	1
DNAH2	0	0	0	0	1	0	0	0	1	1	1
DNAH5	0	0	0	0	0	0	1	0	1	1	1
DNAH7	0	1	0	0	0	0	0	0	1	1	1
DNAH8	0	1	0	0	0	0	0	0	1	1	1
DNAJB4	0	1	0	0	0	0	0	0	1	1	1
DNAJC13	0	0	0	0	0	0	1	0	1	1	1
DNAJC2	0	1	0	0	0	0	0	0	1	1	1
DNMT1	0	0	0	0	1	0	0	0	1	1	1
DNMT3A	0	0	0	0	1	0	0	0	1	1	1
DOCK10	0	0	0	0	1	0	0	0	1	1	1
DOCK2	1	0	0	0	0	0	0	0	1	1	1
DOCK3	0	0	0	0	1	0	0	0	1	1	1
DOCK4	1	0	0	0	0	0	0	0	1	1	1
DOCK5	0	0	0	0	0	0	1	0	1	1	1
DOCK7	1	0	0	0	0	0	0	0	1	1	1
DPP10	0	0	0	0	1	0	0	0	1	1	1
DPP4	0	1	0	0	0	0	0	0	1	1	1
DPY19L2P2	0	0	0	0	0	0	1	0	1	1	1
DPYSL4	1	0	0	0	0	0	0	0	1	1	1
DRD3	0	1	0	0	0	0	0	0	1	1	1
DSCC1	0	0	1	0	0	0	0	0	1	1	1
DSP	1	0	0	0	0	0	0	0	1	1	1
DST	0	0	0	0	1	0	0	0	1	1	1
DTX2	0	1	0	0	0	0	0	0	1	1	1
DTYMK	0	0	0	0	1	0	0	0	1	1	1
DUOX2	0	0	0	0	1	0	0	0	1	1	1
DVL2	0	1	0	0	0	0	0	0	1	1	1
DYM	0	1	0	0	0	0	0	0	1	1	1
DYNC1LI2	0	0	0	0	0	0	1	0	1	1	1
DYTN	0	0	0	0	1	0	0	0	1	1	1
DZIP3	0	0	0	0	0	0	1	0	1	1	1
EBNA1BP2	0	0	1	0	0	0	0	0	1	1	1
EBP	0	0	0	0	0	0	1	0	1	1	1
ECE2	0	0	0	0	0	0	1	0	1	1	1
ECI1	0	0	0	0	1	0	0	0	1	1	1
ECI2	0	0	0	0	1	0	0	0	1	1	1
EDRF1	0	0	0	0	0	0	1	0	1	1	1
EEA1	1	0	0	0	0	0	0	0	1	1	1
EEF1G	0	0	0	0	1	0	0	0	1	1	1
EEF2	0	0	0	0	1	0	0	0	1	1	1
EEF2K	0	0	0	0	0	0	1	0	1	1	1
EEFSEC	1	0	0	0	0	0	0	0	1	1	1
EFHC1	1	0	0	0	0	0	0	0	1	1	1
EFNB3	1	0	0	0	0	0	0	0	1	1	1
EFR3A	0	0	0	0	1	0	0	0	1	1	1
EFTUD1	0	1	0	0	0	0	0	0	1	1	1
EHBP1	0	0	0	0	1	0	0	0	1	1	1
EHD2	0	0	1	0	0	0	0	0	1	1	1
EHHADH	1	0	0	0	0	0	0	0	1	1	1
EHMT1	1	0	0	0	0	0	0	0	1	1	1
EID3	1	0	0	0	0	0	0	0	1	1	1
EIF2B2	0	0	1	0	0	0	0	0	1	1	1
EIF3L	0	0	0	0	1	0	0	0	1	1	1
EIF4G1	0	1	0	0	0	0	0	0	1	1	1
EIF4G3	0	0	0	0	1	0	0	0	1	1	1
ELMSAN1	0	1	0	0	0	0	0	0	1	1	1
ELP2	0	0	0	0	0	0	1	0	1	1	1
EMC3	0	1	0	0	0	0	0	0	1	1	1
EMILIN1	1	0	0	0	0	0	0	0	1	1	1
ENAM	0	1	0	0	0	0	0	0	1	1	1
ENGASE	0	0	1	0	0	0	0	0	1	1	1
ENKD1	0	0	0	0	1	0	0	0	1	1	1
ENO1	0	0	0	0	0	0	1	0	1	1	1
ENOPH1	0	0	0	0	1	0	0	0	1	1	1
ENOX1	0	0	0	0	1	0	0	0	1	1	1
EPAS1	1	0	0	0	0	0	0	0	1	1	1
EPB41L4A	1	0	0	0	0	0	0	0	1	1	1
EPG5	0	0	0	0	1	0	0	0	1	1	1
EPHA1	0	0	0	0	1	0	0	0	1	1	1
EPHA10	0	0	0	0	1	0	0	0	1	1	1
EPHA3	0	0	0	0	0	0	1	0	1	1	1
EPHB1	0	0	0	0	1	0	0	0	1	1	1
EPM2AIP1	1	0	0	0	0	0	0	0	1	1	1
EPN1	1	0	0	0	0	0	0	0	1	1	1
EPS15	0	0	0	0	0	0	1	0	1	1	1
EQTN	0	0	1	0	0	0	0	0	1	1	1
ERBB3	0	0	0	0	1	0	0	0	1	1	1
ERBB4	0	0	0	0	1	0	0	0	1	1	1
ERCC6	1	0	0	0	0	0	0	0	1	1	1
ERMAP	0	0	0	0	1	0	0	0	1	1	1
ERMARD	0	0	0	0	1	0	0	0	1	1	1
ERN1	1	0	0	0	0	0	0	0	1	1	1
ESR1	0	0	0	0	1	0	0	0	1	1	1
ESRP1	0	0	0	0	1	0	0	0	1	1	1
ETAA1	1	0	0	0	0	0	0	0	1	1	1
ETF1	0	0	0	0	1	0	0	0	1	1	1
EVI5	1	0	0	0	0	0	0	0	1	1	1
EVPL	0	0	0	0	0	0	1	0	1	1	1
EXD2	0	0	0	0	1	0	0	0	1	1	1
EXOC1	0	1	0	0	0	0	0	0	1	1	1
EXOC4	0	1	0	0	0	0	0	0	1	1	1
EXOC5	1	0	0	0	0	0	0	0	1	1	1
EXOSC10	0	1	0	0	0	0	0	0	1	1	1
F8	0	1	0	0	0	0	0	0	1	1	1
FABP2	1	0	0	0	0	0	0	0	1	1	1
FABP4	1	0	0	0	0	0	0	0	1	1	1
FAM102B	0	0	1	0	0	0	0	0	1	1	1
FAM105A	1	0	0	0	0	0	0	0	1	1	1
FAM107B	0	1	0	0	0	0	0	0	1	1	1
FAM110C	0	0	0	0	1	0	0	0	1	1	1
FAM126B	0	0	0	0	1	0	0	0	1	1	1
FAM13C	0	0	0	0	0	0	1	0	1	1	1
FAM154B	1	0	0	0	0	0	0	0	1	1	1
FAM178A	0	1	0	0	0	0	0	0	1	1	1
FAM193A	1	0	0	0	0	0	0	0	1	1	1
FAM214A	0	0	0	0	0	0	0	1	1	1	1
FAM217B	1	0	0	0	0	0	0	0	1	1	1
FAM228A	0	0	0	0	1	0	0	0	1	1	1
FAM26E	0	1	0	0	0	0	0	0	1	1	1
FAM47A	0	0	0	0	1	0	0	0	1	1	1
FAM47B	0	0	1	0	0	0	0	0	1	1	1
FAM71A	0	0	0	0	1	0	0	0	1	1	1
FAM83B	0	0	0	0	0	0	0	1	1	1	1
FAM83H	1	0	0	0	0	0	0	0	1	1	1
FAM89B	0	0	0	0	1	0	0	0	1	1	1
FAM98A	0	0	0	0	1	0	0	0	1	1	1
FANCD2	0	0	0	0	1	0	0	0	1	1	1
FARSB	0	0	0	0	1	0	0	0	1	1	1
FASTKD2	1	0	0	0	0	0	0	0	1	1	1
FAT1	1	0	0	0	0	0	0	0	1	1	1
FAT2	1	0	0	0	0	0	0	0	1	1	1
FAT3	0	0	0	0	1	0	0	0	1	1	1
FBLN1	1	0	0	0	0	0	0	0	1	1	1
FBXO10	0	0	0	0	1	0	0	0	1	1	1
FBXO27	0	0	0	0	1	0	0	0	1	1	1
FBXO34	1	0	0	0	0	0	0	0	1	1	1
FBXO38	0	1	0	0	0	0	0	0	1	1	1
FBXO42	0	0	0	0	1	0	0	0	1	1	1
FBXO46	1	0	0	0	0	0	0	0	1	1	1
FBXO6	1	0	0	0	0	0	0	0	1	1	1
FBXW9	0	0	0	0	1	0	0	0	1	1	1
FCGBP	0	0	0	0	1	0	0	0	1	1	1
FCGR2B	0	0	0	0	1	0	0	0	1	1	1
FCHSD1	0	0	0	0	1	0	0	0	1	1	1
FCRL4	0	0	0	0	0	0	1	0	1	1	1
FER1L6	1	0	0	0	0	0	0	0	1	1	1
FGF7	0	0	0	0	1	0	0	0	1	1	1
FGFR1OP2	0	0	0	0	0	0	1	0	1	1	1
FGGY	0	0	0	0	0	0	1	0	1	1	1
FIP1L1	0	1	0	0	0	0	0	0	1	1	1
FITM2	1	0	0	0	0	0	0	0	1	1	1
FKBP4	0	0	0	0	0	0	1	0	1	1	1
FKTN	1	0	0	0	0	0	0	0	1	1	1
FLG	1	0	0	0	0	0	0	0	1	1	1
FLG2	1	0	0	0	0	0	0	0	1	1	1
FLII	0	0	1	0	0	0	0	0	1	1	1
FLT1	1	0	0	0	0	0	0	0	1	1	1
FLT3	0	0	0	0	0	0	1	0	1	1	1
FMN2	0	0	1	0	0	0	0	0	1	1	1
FMNL1	0	0	0	0	0	0	1	0	1	1	1
FMNL3	0	0	1	0	0	0	0	0	1	1	1
FMR1NB	0	1	0	0	0	0	0	0	1	1	1
FN1	0	0	0	0	1	0	0	0	1	1	1
FNIP2	0	0	0	0	1	0	0	0	1	1	1
FNTA	0	0	0	0	1	0	0	0	1	1	1
FOLR4	0	0	0	0	1	0	0	0	1	1	1
FOXD4L3	0	0	0	0	1	0	0	0	1	1	1
FOXP4	0	0	0	0	1	0	0	0	1	1	1
FPGS	0	0	0	0	0	0	1	0	1	1	1
FRG1	0	0	0	0	1	0	0	0	1	1	1
FRY	0	0	0	0	1	0	0	0	1	1	1
FSTL5	0	0	0	0	1	0	0	0	1	1	1
FTSJ3	1	0	0	0	0	0	0	0	1	1	1
FUCA1	0	0	0	0	1	0	0	0	1	1	1
FUCA2	0	0	0	0	1	0	0	0	1	1	1
FUK	0	0	0	0	1	0	0	0	1	1	1
FXR1	0	1	0	0	0	0	0	0	1	1	1
FYB	0	1	0	0	0	0	0	0	1	1	1
FZD2	0	0	0	0	1	0	0	0	1	1	1
FZD6	0	0	0	0	1	0	0	0	1	1	1
G3BP2	0	0	0	0	1	0	0	0	1	1	1
GABBR2	0	0	0	0	1	0	0	0	1	1	1
GABRA3	0	0	0	0	1	0	0	0	1	1	1
GAL3ST4	0	1	0	0	0	0	0	0	1	1	1
GALNT13	1	0	0	0	0	0	0	0	1	1	1
GALNT14	0	0	0	0	1	0	0	0	1	1	1
GAPDH	0	0	0	0	0	0	1	0	1	1	1
GART	0	0	0	0	1	0	0	0	1	1	1
GAST	0	0	0	0	1	0	0	0	1	1	1
GATAD2B	0	0	0	0	1	0	0	0	1	1	1
GATC	0	0	0	0	0	1	0	0	1	1	1
GBA2	0	0	0	0	1	0	0	0	1	1	1
GBF1	0	0	0	0	1	0	0	0	1	1	1
GCK	0	0	0	0	0	0	1	0	1	1	1
GDAP2	1	0	0	0	0	0	0	0	1	1	1
GDPD5	0	1	0	0	0	0	0	0	1	1	1
GEMIN4	1	0	0	0	0	0	0	0	1	1	1
GGA2	0	0	0	0	1	0	0	0	1	1	1
GGCX	1	0	0	0	0	0	0	0	1	1	1
GIGYF1	0	0	0	0	0	0	1	0	1	1	1
GIPC3	1	0	0	0	0	0	0	0	1	1	1
GJA5	0	0	0	0	1	0	0	0	1	1	1
GLE1	0	0	0	0	0	0	1	0	1	1	1
GLOD4	0	0	0	0	0	0	1	0	1	1	1
GLUL	0	0	0	0	0	0	1	0	1	1	1
GMPR	0	0	0	0	0	0	1	0	1	1	1
GMPR2	0	0	0	0	1	0	0	0	1	1	1
GNAZ	0	0	1	0	0	0	0	0	1	1	1
GNPNAT1	1	0	0	0	0	0	0	0	1	1	1
